id,name,breeder,species,auto_flower,flower_time,image
69,"Master Kush",6,1,0,56,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_Master_Kush_thumb.jpg
70,"Auto Uzbeka",10,5,1,58,https://en.seedfinder.eu/pics/01seeds/AutoFem_Seeds/AutoFem_Seeds_-_Auto_Uzbeka_thumb.jpg
71,"Aspen OG",11,3,0,68,https://en.seedfinder.eu/pics/01seeds/303_Seeds/303_Seeds_-_Aspen_OG_thumb.jpg
72,"Critical Chiva",13,5,1,60,https://en.seedfinder.eu/pics/01seeds/Automaris/Automaris_-_Critical_Chiva_thumb.jpg
73,"Auto 00 Kush",2,7,1,75,https://en.seedfinder.eu/pics/01seeds/00_Seeds_Bank/00_Seeds_Bank_-_Auto_00_Kush_thumb.jpg
74,"Auto Blue Diesel",12,7,1,60,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Blue_Diesel_thumb.jpg
75,"New York Diesel",6,2,0,70,https://en.seedfinder.eu/pics/01seeds/Abraxas_Seeds/Abraxas_Seeds_-_New_York_Diesel_thumb.jpg
76,"Auto Frosty Bud",25,7,1,70,https://en.seedfinder.eu/pics/01seeds/Azarius_Seeds/Azarius_Seeds_-_Auto_Frosty_Bud_thumb.jpg
77,"Crouching Kai",20,1,0,63,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Crouching_Kai_thumb.jpg
78,"Leela Bazooka",7,3,0,67,https://en.seedfinder.eu/pics/01seeds/ABC_Seeds/ABC_Seeds_-_Leela_Bazooka_thumb.jpg
79,"Lit 101",22,3,0,63,https://en.seedfinder.eu/pics/01seeds/ABF_Genetics/ABF_Genetics_-_Lit_101_thumb.jpg
80,"Auto Critical Soma",12,3,1,75,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Critical_Soma_thumb.jpg
81,Bazinga,27,2,0,58,https://en.seedfinder.eu/pics/01seeds/Acumen_Genetics/Acumen_Genetics_-_Bazinga_thumb.jpg
82,"Crouching Tiger",20,1,0,0,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Crouching_Tiger_thumb.jpg
83,"Emperor Purple",3,1,0,60,https://en.seedfinder.eu/pics/01seeds/207_Seeds/207_Seeds_-_Emperor_Purple_thumb.jpg
84,"'78 LA OG Affie",30,1,0,0,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Collection/Aficionado_Seed_Collection_-_78_LA_OG_Affie_thumb.jpg
85,"Auto Massive Bud",25,5,1,63,https://en.seedfinder.eu/pics/01seeds/Azarius_Seeds/Azarius_Seeds_-_Auto_Massive_Bud_thumb.jpg
86,"Afghan Skunk",28,1,0,60,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Bank/Aficionado_Seed_Bank_-_Afghan_Skunk_thumb.jpg
87,Gitane,13,7,1,75,https://en.seedfinder.eu/pics/01seeds/Automaris/Automaris_-_Gitane_thumb.jpg
88,Cura,20,0,0,0,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Cura_thumb.jpg
89,"Chemdawg Special Reserve",30,2,0,65,https://en.seedfinder.eu/pics/01seeds/Aficionado_Seed_Collection/Aficionado_Seed_Collection_-_Chemdawg_Special_Reserve_thumb.jpg
90,"Auto White",25,7,1,75,https://en.seedfinder.eu/pics/01seeds/Azarius_Seeds/Azarius_Seeds_-_Auto_White_thumb.jpg
91,"20 Guage",31,7,0,78,https://en.seedfinder.eu/pics/01seeds/Afterthought_Autos/Afterthought_Autos_-_20_Guage_thumb.jpg
92,"Austrian Sunpower",29,2,0,58,https://en.seedfinder.eu/pics/01seeds/Austrian_Sunseeds/Austrian_Sunseeds_-_Austrian_Sunpower_thumb.jpg
93,"Ammi Automatic",33,6,1,84,https://en.seedfinder.eu/pics/01seeds/Aztech_Genetics/Aztech_Genetics_-_Ammi_Automatic_thumb.jpg
94,Marinuska,13,3,0,75,https://en.seedfinder.eu/pics/01seeds/Automaris/Automaris_-_Marinuska_thumb.jpg
95,Curaga,20,3,0,63,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Curaga_thumb.jpg
96,"B-52 Bomber",26,2,0,63,https://en.seedfinder.eu/pics/01seeds/Almighty_Seeds/Almighty_Seeds_-_B-52_Bomber_thumb.jpg
97,Benedicta,34,1,0,53,https://en.seedfinder.eu/pics/01seeds/All-in_Medicinal_Seeds/All-in_Medicinal_Seeds_-_Benedicta_thumb.jpg
98,Haze-a-Licious,25,2,0,70,https://en.seedfinder.eu/pics/01seeds/Azarius_Seeds/Azarius_Seeds_-_Haze-a-Licious_thumb.jpg
99,"Azure Rocket",31,7,1,70,https://en.seedfinder.eu/pics/01seeds/Afterthought_Autos/Afterthought_Autos_-_Azure_Rocket_thumb.jpg
100,"Bangi Haze",23,2,0,67,https://en.seedfinder.eu/pics/01seeds/ACE_Seeds/ACE_Seeds_-_Bangi_Haze_thumb.jpg
101,"CBD Critical Mass",5,1,0,52,https://en.seedfinder.eu/pics/01seeds/420_Genetics/420_Genetics_-_CBD_Critical_Mass_thumb.jpg
102,Django,20,2,0,0,https://en.seedfinder.eu/pics/01seeds/AlpinStash/AlpinStash_-_Django_thumb.jpg
103,"Auto Heavy Bud",12,7,1,65,https://en.seedfinder.eu/pics/01seeds/Advanced_Seeds/Advanced_Seeds_-_Auto_Heavy_Bud_thumb.jpg
104,"Auto GSC",19,7,1,60,https://en.seedfinder.eu/pics/01seeds/Aurora_Winds_Botanical_Seeds/Aurora_Winds_Botanical_Seeds_-_Auto_GSC_thumb.jpg
105,"Dawg Collar",14,1,0,60,https://en.seedfinder.eu/pics/01seeds/AV3_Genetics/AV3_Genetics_-_Dawg_Collar_thumb.jpg
106,"Ultra Critical",25,3,0,70,https://en.seedfinder.eu/pics/01seeds/Azarius_Seeds/Azarius_Seeds_-_Ultra_Critical_thumb.jpg
107,Bubbaloo,31,7,1,75,https://en.seedfinder.eu/pics/01seeds/Afterthought_Autos/Afterthought_Autos_-_Bubbaloo_thumb.jpg
