,name,keywords
38,Northern Lights,Spicy Head Meditativ Microbiological Relaxing Body Couch Lock Pepper Exhilarating Narcotic Sour Maple Sugar Thought provoking Pine Musky Sweet Herbs Uplifting Calming Acidic Appetizing Psychedelic Light headed Sleepy Rose Pain numbing Honey Dizzy Sandalwood Wood Aphrodisiac Citrus Activate Earth Hashish Floral Nectar Cedarwood Vanilla
39,Ice,Bubble Gum Jasmine Spicy Coughsyrup Head Blueberry Spearmint Microbiological Relaxing Thyme Body Couch Lock Narcotic Sour Nervous / Fidgety Rot Dairy Sugar Fruity Sweet Herbs Grape Uplifting Calming Fennel Hot Mint Sleepy Rose Racy Medicine Pain numbing Honey Dizzy Wood Bitter Alcohol Activate Leather Earth Sage Berry Blackberry Chemical Floral Glue Nectar Diesel Plum Vanilla
40,Santa Maria,Jasmine Spicy Cloves Dill Head Spacy / Confusedly Violet Relaxing Thyme Cucumber Body Mango Pepper Exhilarating Maple Tobacco Banana Parsley Pear Pine Fruity Kiwi Herbs Sweet Uplifting Calming Organic Appetizing Hot Mint Honey Dizzy Sandalwood Bitter Orange Blossom Sage Tropical Floral Cantaloupe Cedarwood Tee
41,Pineapple Chunk,Lilac Stress Pineapple Jasmine Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Body Energetic Couch Lock Pepper Exhilarating Narcotic Sour Creeps Chocolate Sugar Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Calming Acidic Appetizing Psychedelic Fresh Nuts Light headed Paranoia Racy Sleepy Pain numbing Dizzy Bitter Aphrodisiac Citrus Activate Earth Walnut Tropical Floral Tonsil Nuts Vanilla
42,Hollands Hope,Bubble Gum Stress Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Body Energetic Couch Lock Pepper Exhilarating Narcotic Sour Nervous / Fidgety Creeps Maple Thought provoking Pine Fruity Musky Sweet Herbs Uplifting Calming Appetizing Psychedelic Cookie Dough Paranoia Light headed Sleepy Rose Racy Rosted Nuts Pain numbing Dizzy Lemon Grass Sandalwood Sweet Lemon Wood Bitter Aphrodisiac Citrus Activate Leather Earth Hashish Floral Chestnut Nuts Vanilla
43,L.A. Chocolat,Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Body Soda Couch Lock Exhilarating Narcotic Sour Maple Dairy Chocolate Sugar Thought provoking Pine Musky Sweet Butter Sour Cream Calming Organic Appetizing Sleepy Pain numbing Honey Dizzy Wood Bitter Aphrodisiac Activate Earth Butterscotch Hashish Chemical Cedarwood Whipped Cream Hot Milk
44,Special Kush #1,Bubble Gum Spicy Head Meditativ Cheese Microbiological Relaxing Body Couch Lock Exhilarating Narcotic Sour Nervous / Fidgety Dairy Chocolate Sugar Thought provoking Musky Fruity Mold Sweet Uplifting Calming Organic Appetizing Cookie Dough Light headed Sleepy Racy Pain numbing Honey Wood Bitter Activate Earth Hashish Tropical Berry Floral Nectar Coffee Energetic
45,L.S.D.,Spicy Head Grapefruit Meditativ Spacy / Confusedly Microbiological Relaxing Body Soda Tangerine Exhilarating Lime Sour Couch Lock Narcotic Nervous / Fidgety Creeps Apple Lemon Thought provoking Pear Pine Fruity Musky Sweet Uplifting Calming Appetizing Psychedelic Paranoia Sleepy Racy Dizzy Sweet Lemon Citrus Activate Leather Earth Hashish Tropical Orange Floral Blood Orange Energetic
46,Short Ryder,Bubble Gum Stress Spicy Head Meditativ Spacy / Confusedly Microbiological Relaxing Body Couch Lock Exhilarating Narcotic Nervous / Fidgety Rot Thought provoking Musky Fruity Sweet Herbs Uplifting Calming Organic Appetizing Psychedelic Tar Sleepy Racy Honey Dizzy Sweat Bitter Aphrodisiac Orange Blossom Earth Hashish Chemical Floral Nectar Diesel Licorice
47,Outdoor Grapefruit,Pineapple Spicy Head Grapefruit Meditativ Spacy / Confusedly Relaxing Body Couch Lock Mango Tangerine Lime Sour Exhilarating Narcotic Nervous / Fidgety Thought provoking Pine Fruity Sweet Kiwi Herbs Uplifting Calming Acidic Appetizing Psychedelic Hot Mint Light headed Sleepy Pain numbing Aphrodisiac Citrus Activate Hashish Tropical Berry Orange Floral Cantaloupe Blood Orange Energetic
